Partlist

Exported from A10-OLinuXino-Lime_Rev_C.sch at 19/10/2015 18:31

EAGLE Version 6.5.0 Copyright (c) 1988-2013 CadSoft

Assembly variant: 

Part         Value                              Device                            Package                   Library           Sheet
C70          220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C71          220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C72          220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C73          220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C74          100nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C75          100nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C76          22uF/6.3V                          C-EUC0603_DWS                     C0603_DWS                 rcl               1
C77          220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C78          220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C79          1uF                                C-EUC0603_DWS                     C0603_DWS                 rcl               1
C80          100nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C81          10pF                               C-EUC0603_DWS                     C0603_DWS                 rcl               1
C82          NA(100nF)                          C-EUC0402_TI                      C0402_TI                  rcl               1
C83          NA(100nF)                          C-EUC0402_TI                      C0402_TI                  rcl               1
C84          NA(100nF)                          C-EUC0402_TI                      C0402_TI                  rcl               1
C85          10pF                               C-EUC0603_DWS                     C0603_DWS                 rcl               1
C86          100nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C87          100nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C88          100nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C89          100nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C90          33pF                               C-EUC0603_DWS                     C0603_DWS                 rcl               1
C91          33pF                               C-EUC0603_DWS                     C0603_DWS                 rcl               1
C92          22uF/6.3V                          C-EUC0603_DWS                     C0603_DWS                 rcl               1
C93          100nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C94          22uF/6.3V                          C-EUC0603_DWS                     C0603_DWS                 rcl               1
C95          220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C96          22uF/6.3V                          C-EUC0603_DWS                     C0603_DWS                 rcl               1
C97          22uF/6.3V                          C-EUC0603_DWS                     C0603_DWS                 rcl               1
C98          22uF/6.3V                          C-EUC0603_DWS                     C0603_DWS                 rcl               1
C99          1uF                                C-EUC0603_DWS                     C0603_DWS                 rcl               1
C100         220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C101         10uF/6.3V                          C-EUC0603_DWS                     C0603_DWS                 rcl               1
C102         10uF/6.3V                          C-EUC0603_DWS                     C0603_DWS                 rcl               1
C103         220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C104         220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C105         220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C106         220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C107         220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C108         10uF/6.3V                          C-EUC0603_DWS                     C0603_DWS                 rcl               1
C109         100nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C110         100nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C111         100nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C112         22uF/6.3V                          C-EUC0603_DWS                     C0603_DWS                 rcl               1
C113         1nF                                C-EUC0402_TI                      C0402_TI                  rcl               1
C114         1nF                                C-EUC0402_TI                      C0402_TI                  rcl               1
C115         1nF                                C-EUC0402_TI                      C0402_TI                  rcl               1
C116         1nF                                C-EUC0402_TI                      C0402_TI                  rcl               1
C117         10uF/6.3V                          C-EUC0603_DWS                     C0603_DWS                 rcl               1
C118         22uF/6.3V                          C-EUC0603_DWS                     C0603_DWS                 rcl               1
C119         22uF/6.3V                          C-EUC0603_DWS                     C0603_DWS                 rcl               1
C120         100nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C121         220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C122         22uF/6.3V                          C-EUC0603_DWS                     C0603_DWS                 rcl               1
C123         220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C124         10uF/6.3V                          C-EUC0603_DWS                     C0603_DWS                 rcl               1
C125         22uF/6.3V                          C-EUC0603_DWS                     C0603_DWS                 rcl               1
C126         100nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C127         10nF                               C-EUC0402_TI                      C0402_TI                  rcl               1
C128         10nF                               C-EUC0402_TI                      C0402_TI                  rcl               1
C129         10nF                               C-EUC0402_TI                      C0402_TI                  rcl               1
C130         10uF/6.3V                          C-EUC0603_DWS                     C0603_DWS                 rcl               1
C131         10nF                               C-EUC0402_TI                      C0402_TI                  rcl               1
C132         10uF/6.3V                          C-EUC0603_DWS                     C0603_DWS                 rcl               1
C133         1uF                                C-EUC0603_DWS                     C0603_DWS                 rcl               1
C134         10uF/6.3V                          C-EUC0603_DWS                     C0603_DWS                 rcl               1
C135         10uF/6.3V                          C-EUC0603_DWS                     C0603_DWS                 rcl               1
C136         10uF/6.3V                          C-EUC0603_DWS                     C0603_DWS                 rcl               1
C137         220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C138         10uF/6.3V                          C-EUC0603_DWS                     C0603_DWS                 rcl               1
C139         22uF/6.3V                          C-EUC0603_DWS                     C0603_DWS                 rcl               1
C140         22uF/6.3V                          C-EUC0603_DWS                     C0603_DWS                 rcl               1
C141         NA(22uF/6.3V)                      C-EUC0603_DWS                     C0603_DWS                 rcl               1
C142         10uF/6.3V                          C-EUC0603_DWS                     C0603_DWS                 rcl               1
C143         1nF                                C-EUC0402_TI                      C0402_TI                  rcl               1
C144         10uF/6.3V                          C-EUC0603_DWS                     C0603_DWS                 rcl               1
C145         1uF                                C-EUC0603_DWS                     C0603_DWS                 rcl               1
C146         10uF/6.3V                          C-EUC0603_DWS                     C0603_DWS                 rcl               1
C147         1nF                                C-EUC0402_TI                      C0402_TI                  rcl               1
C148         100nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C149         10uF/6.3V                          C-EUC0603_DWS                     C0603_DWS                 rcl               1
C150         1uF                                C-EUC0603_DWS                     C0603_DWS                 rcl               1
C151         22uF/6.3V                          C-EUC0603_DWS                     C0603_DWS                 rcl               1
C152         220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C153         10uF/6.3V                          C-EUC0603_DWS                     C0603_DWS                 rcl               1
C154         1uF                                C-EUC0603_DWS                     C0603_DWS                 rcl               1
C155         22uF/6.3V                          C-EUC0603_DWS                     C0603_DWS                 rcl               1
C156         220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C157         10uF/6.3V                          C-EUC0603_DWS                     C0603_DWS                 rcl               1
C158         10uF/6.3V                          C-EUC0603_DWS                     C0603_DWS                 rcl               1
C159         10uF/6.3V                          C-EUC0603_DWS                     C0603_DWS                 rcl               1
C160         10uF/6.3V                          C-EUC0603_DWS                     C0603_DWS                 rcl               1
C161         1nF                                C-EUC0402_TI                      C0402_TI                  rcl               1
C162         220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C163         10uF/6.3V                          C-EUC0603_DWS                     C0603_DWS                 rcl               1
C164         22uF/6.3V                          C-EUC0603_DWS                     C0603_DWS                 rcl               1
C165         22uF/6.3V                          C-EUC0603_DWS                     C0603_DWS                 rcl               1
C166         22uF/6.3V                          C-EUC0603_DWS                     C0603_DWS                 rcl               1
C167         100nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C168         220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C169         22uF/6.3V                          C-EUC0603_DWS                     C0603_DWS                 rcl               1
C170         220nF                              C-EUC0402_TI                      C0402_TI                  rcl               1
C171         470nF                              C-EUC0603_DWS                     C0603_DWS                 rcl               1
C172         22uF/6.3V                          C-EUC0603_DWS                     C0603_DWS                 rcl               1
